health_region_code,year,measure_type,live_births,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,neonatal_per_1000,infant_per_1000,under5_per_1000,maternal_per_100000
15002,2010,occurrence,14729,221,274,324,5,15.0044130626655,18.6027564668341,21.9974200556725,33.9466358883835
15002,2010,residence,14889,227,278,328,5,15.2461548794412,18.6715024514742,22.0296863456243,33.5818389415004
15002,2015,occurrence,15112,200,251,289,9,13.2345156167284,16.6093170989942,19.1238750661726,59.5553202752779
15002,2015,residence,15241,204,262,302,8,13.3849484941933,17.1904730660718,19.8149727708156,52.4899940948757
15003,2000,occurrence,11467,208,335,417,15,18.1390075869888,29.2142670271213,36.3652219412226,130.810150867707
15003,2000,residence,11625,219,358,446,16,18.8387096774194,30.7956989247312,38.3655913978495,137.634408602151
15003,2005,occurrence,14615,187,303,372,10,12.7950735545672,20.7321245295929,25.4533014026685,68.4228532329798
15003,2005,residence,14891,227,374,457,12,15.2441071788329,25.1158417836277,30.6896783291921,80.5855886105701
15003,2010,occurrence,14946,155,235,282,10,10.3706677371872,15.7232704402516,18.8679245283019,66.9075337883046
15003,2010,residence,15366,175,267,321,14,11.3887804243134,17.3760249902382,20.8902772354549,91.1102433945073
15003,2015,occurrence,16168,125,180,210,7,7.73132112815438,11.1331024245423,12.9886194952994,43.2953983176645
15003,2015,residence,16875,176,249,286,9,10.4296296296296,14.7555555555556,16.9481481481482,53.3333333333333
15004,2000,occurrence,4193,78,136,175,5,18.6024326258049,32.4350107321727,41.7362270450751,119.246362985929
15004,2000,residence,4184,83,148,189,5,19.8374760994264,35.3728489483748,45.1720841300191,119.502868068834
15004,2005,occurrence,8590,133,217,275,4,15.4831199068685,25.2619324796275,32.0139697322468,46.5657741559954
15004,2005,residence,8597,144,244,305,2,16.7500290799116,28.3819937187391,35.4774921484239,23.263929277655
15004,2010,occurrence,7523,108,146,172,3,14.3559750099694,19.4071514023661,22.8632194603217,39.8777083610262
15004,2010,residence,7525,108,161,191,3,14.3521594684385,21.3953488372093,25.3820598006645,39.8671096345515
15004,2015,occurrence,7558,65,94,115,2,8.60015877216195,12.4371526858957,15.2156655199788,26.4620269912675
15004,2015,residence,7391,72,104,130,2,9.74157759437153,14.0711676363144,17.588959545393,27.0599377621432
15006,2000,occurrence,40409,900,1194,1385,17,22.2722660793388,29.5478729985894,34.2745427998713,42.0698359276399
15006,2000,residence,39544,790,1016,1165,12,19.9777463079102,25.6928990491604,29.4608537325511,30.3459437588509
15006,2005,occurrence,38975,741,1130,1356,39,19.012187299551,28.9929441949968,34.7915330339962,100.064143681847
15006,2005,residence,36332,481,684,806,22,13.2390179456127,18.8263789496862,22.1843003412969,60.5526808323241
15006,2010,occurrence,38663,643,967,1148,30,16.6308874117373,25.0109924216952,29.6924708377519,77.5935649070171
15006,2010,residence,34465,402,568,652,9,11.6640069635862,16.4804874510373,18.9177426374583,26.1134484259394
15006,2015,occurrence,40886,609,879,1013,41,14.8950741084968,21.4988015457614,24.776207014626,100.278824047351
15006,2015,residence,32803,341,477,550,22,10.3953906654879,14.5413529250373,16.7667591378837,67.0670365515349
15007,2000,occurrence,4357,56,84,100,4,12.8528804223089,19.2793206334634,22.9515721826945,91.8062887307781
15007,2000,residence,4670,77,120,140,4,16.4882226980728,25.6959314775161,29.9785867237687,85.6531049250535
15007,2005,occurrence,4602,18,29,45,2,3.91134289439374,6.30160799652325,9.77835723598436,43.4593654932638
15007,2005,residence,5503,56,96,123,4,10.1762674904598,17.4450299836453,22.3514446665455,72.6876249318554
15007,2010,occurrence,4285,32,41,53,1,7.46791131855309,9.56826137689615,12.3687281213536,23.3372228704784
15007,2010,residence,5610,81,105,135,2,14.4385026737968,18.716577540107,24.0641711229947,35.650623885918
15007,2015,occurrence,3322,19,25,36,0,5.71944611679711,7.52558699578567,10.8368452739314,0
15007,2015,residence,6166,68,97,118,5,11.0282192669478,15.7314304249108,19.1372040220564,81.0898475510866
15008,2000,occurrence,12759,149,267,329,9,11.6780311936672,20.9264048906654,25.7857198840035,70.5384434516812
